symbol,name,reportDate,fiscalDateEnding,estimate,currency
AGILQ,AGILQ,2025-08-12,2025-06-30,0,USD
AGIO,Agios Pharmaceuticals Inc,2025-07-30,2025-06-30,-1.81,USD
AGL,Agilon Health Inc,2025-07-31,2025-06-30,-0.1042,USD
AGLDF,AGLDF,2025-09-03,2025-06-30,,USD
AGLFF,AGLFF,2025-08-20,2025-06-30,,USD
AGLNF,AGLNF,2025-08-13,2025-06-30,,AUD
AGLXY,AGLXY,2025-09-25,2025-06-30,,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2025-08-11,2025-06-30,4.31,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2025-08-04,2025-06-30,4.31,USD
AGM-PD,AGM-PD,2025-08-04,2025-06-30,,USD
AGM-PE,AGM-PE,2025-08-04,2025-06-30,,USD
AGM-PF,AGM-PF,2025-08-04,2025-06-30,,USD
AGM-PG,AGM-PG,2025-08-04,2025-06-30,,USD
AGMJF,AGMJF,2025-07-31,2025-06-30,0.75,USD
AGMRF,AGMRF,2025-08-21,2025-06-30,,USD
AGNC,AGNC Investment Corp,2025-07-21,2025-06-30,0.411,USD
AGNCL,AGNC Investment Corp,2025-07-21,2025-06-30,,USD
AGNCM,AGNC Investment Corp,2025-07-21,2025-06-30,,USD
AGNCN,AGNC Investment Corp,2025-07-21,2025-06-30,,USD
AGNCO,AGNC Investment Corp,2025-07-21,2025-06-30,,USD
AGNCP,AGNC Investment Corp,2025-07-21,2025-06-30,,USD
AGO,Assured Guaranty Ltd,2025-08-06,2025-06-30,1.54,USD
AGORF,AGORF,2025-08-12,2025-06-30,,USD
AGPPF,AGPPF,2025-07-28,2025-06-30,,USD
AGPYF,AGPYF,2025-08-28,2025-06-30,,USD
AGPYY,AGPYY,2025-08-28,2025-06-30,,USD
AGR,AGR,2025-07-21,2025-06-30,,USD
AGRDF,AGRDF,2025-07-17,2025-06-30,,USD
AGREF,AGREF,2025-07-29,2025-06-30,,USD
AGRO,Adecoagro S.A.,2025-08-18,2025-06-30,0.2585,USD
AGRPF,AGRPF,2025-08-18,2025-06-30,,USD
AGRPY,AGRPY,2025-08-18,2025-06-30,,USD
AGRTF,AGRTF,2025-08-27,2025-06-30,,USD
AGRUF,AGRUF,2025-08-29,2025-06-30,1.94,NOK
AGS,PlayAGS Inc,2025-08-01,2025-06-30,0.1703,USD
AGTX,AGTX,2025-09-22,2025-06-30,,USD
AGX,Argan Inc,2025-09-04,2025-07-31,1.22,USD
AGXKF,AGXKF,2025-09-24,2025-06-30,,USD
AGXPF,AGXPF,2025-08-28,2025-06-30,,USD
AGXTF,AGXTF,2025-09-16,2025-06-30,,USD
AGXXF,AGXXF,2025-08-21,2025-06-30,,USD
AGYS,Agilysys Inc,2025-07-21,2025-06-30,0.3617,USD
AGZNF,AGZNF,2025-09-01,2025-06-30,,USD
AHCHF,AHCHF,2025-08-27,2025-06-30,0.81,USD
AHCHY,AHCHY,2025-08-27,2025-06-30,0.6188,USD
AHCO,AdaptHealth Corp,2025-08-12,2025-06-30,0.1542,USD
AHEXF,AHEXF,2025-08-05,2025-06-30,0.46,USD
AHEXY,AHEXY,2025-08-05,2025-06-30,0.2755,USD
AHFCF,AHFCF,2025-08-19,2025-06-30,,USD
AHG,Akso Health Group,2025-09-17,2025-06-30,0,USD
AHH,Armada Hoffler Properties Inc,2025-08-04,2025-06-30,0.04,USD
AHICF,AHICF,2025-08-14,2025-06-30,10.11,USD
AHKSF,AHKSF,2025-07-31,2025-06-30,18.6,JPY
AHKSY,AHKSY,2025-07-28,2025-06-30,0.3042,JPY
AHL,Aspen Insurance Holdings Ltd,2025-08-07,2025-06-30,1.16,USD
AHODF,AHODF,2025-08-06,2025-06-30,0.65,USD
AHOTF,AHOTF,2025-08-05,2025-06-30,,USD
AHR,American Healthcare REIT Inc,2025-08-07,2025-06-30,0,USD
AHRO,AHRO,2025-08-18,2025-06-30,,USD
AHWSF,AHWSF,2025-09-25,2025-06-30,,EUR
AI,C3.ai Inc - Class A,2025-09-03,2025-07-31,-0.13,USD
AIABF,AIABF,2025-08-28,2025-06-30,,USD
AIAGF,AIAGF,2025-08-05,2025-06-30,0.9,EUR
AIAGY,AIAGY,2025-08-05,2025-06-30,0.5324,EUR
AIBGY,AIBGY,2025-08-01,2025-06-30,,USD
AICAF,AICAF,2025-08-28,2025-06-30,,USD
AICHF,AICHF,2025-07-29,2025-06-30,,USD
AIFLF,AIFLF,2025-08-08,2025-06-30,,USD
AIFLY,AIFLY,2025-08-06,2025-06-30,,USD
AIFU,AIFU Inc - Class A,2025-09-18,2025-06-30,,USD
AIG,American International Group Inc,2025-08-06,2025-06-30,1.64,USD
AIHLF,AIHLF,2025-08-20,2025-06-30,,USD
AIHZF,AIHZF,2025-08-18,2025-06-30,,USD
AIIXY,AIIXY,2025-07-31,2025-06-30,,USD
AIJTY,AIJTY,2025-08-21,2025-06-30,,USD
AILIH,AILIH,2025-08-04,2025-06-30,,USD
AILIM,AILIM,2025-08-04,2025-06-30,,USD
AILIN,AILIN,2025-08-04,2025-06-30,,USD
AILIO,AILIO,2025-08-04,2025-06-30,,USD
AILIP,AILIP,2025-08-04,2025-06-30,,USD
AILLI,AILLI,2025-08-04,2025-06-30,,USD
AILLM,AILLM,2025-08-04,2025-06-30,,USD
AILLN,AILLN,2025-08-04,2025-06-30,,USD
AILLO,AILLO,2025-08-04,2025-06-30,,USD
AILLP,AILLP,2025-08-04,2025-06-30,,USD
AILQF,AILQF,2025-07-17,2025-06-30,,CAD
AIM,AEROSONIC CORP,2025-08-19,2025-06-30,-0.08,USD
AIMFF,AIMFF,2025-08-12,2025-06-30,-0.08,USD
AIN,Albany International Corp - Class A,2025-07-28,2025-06-30,0.752,USD
AINPF,AINPF,2025-09-03,2025-07-31,,USD
AINSF,AINSF,2025-08-25,2025-06-30,,USD
AIP,Arteris Inc,2025-07-31,2025-06-30,-0.0975,USD
AIPUY,AIPUY,2025-08-14,2025-06-30,,USD
AIQUF,AIQUF,2025-07-29,2025-06-30,,USD
AIQUY,AIQUY,2025-07-29,2025-06-30,0.6603,USD
AIR,AAR Corp,2025-07-16,2025-05-31,1,USD
AIR,AAR Corp,2025-09-22,2025-08-31,1.04,USD
AIRE,reAlpha Tech Corp,2025-08-13,2025-07-31,0,USD
AIRG,Airgain Inc,2025-08-07,2025-06-30,-0.06,USD
AIRRF,AIRRF,2025-08-29,2025-06-30,,USD
AIRS,Airsculpt Technologies Inc,2025-08-08,2025-06-30,0.015,USD
AIRT,Air T Inc,2025-08-12,2025-06-30,,USD
AIRYY,AIRYY,2025-08-27,2025-06-30,0.0623,CNY
AISSF,AISSF,2025-07-30,2025-06-30,,USD
AISXF,AISXF,2025-08-27,2025-06-30,,USD
AIT,Applied Industrial Technologies Inc,2025-08-07,2025-06-30,2.62,USD
AITUF,AITUF,2025-07-31,2025-06-30,12.99,USD
AITUY,AITUY,2025-07-29,2025-06-30,,USD
AITVF,AITVF,2025-08-27,2025-06-30,,USD
AIV,Apartment Investment & Management Co. - Class A,2025-08-07,2025-06-30,-0.11,USD
AIVAF,AIVAF,2025-08-14,2025-06-30,,USD
AIXXF,AIXXF,2025-07-31,2025-06-30,0.15,EUR
AIZ,Assurant Inc,2025-08-05,2025-06-30,4.45,USD
